STNAME,CTYNAME,PCNT_BLACK,Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2,x,y
Louisiana,Ascension,0.24824650090044548,Dutchtown Treatment Plant,36.41,LAD980879449,600633.0,6.0,Louisiana,Ascension Parish,Ascension,Deleted NPL Site,30.256669,-90.98,01/22/1987,07/22/1987,01/12/1998,507.0,09/17/1999,11/16/1999,"<a href=""https://semspub.epa.gov/src/document/06/300344"" target=""_blank"">LAD980879449 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600633"" target=""_blank"">Dutchtown Treatment Plant</a>","<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-09-17/pdf/99-24040.pdf"" target=""_blank"">09/17/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-09-17/pdf/99-24039.pdf"" target=""_blank"">11/16/1999 (PDF)</a>",,No,,,,,535.0,-10127847.27237203,3536585.099911548
Arkansas,Ashley,0.25258177748384797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Assumption,0.3029098716367457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Atkinson,0.18873239436619718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Atlantic,0.1879546402700345,D'Imperio Property,55.79,NJD980529416,200639.0,2.0,New Jersey,Hamilton Township,Atlantic,NPL Site,39.454439,-74.658889,12/30/1982,09/08/1983,09/22/2004,914.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363625"" target=""_blank"">NJD980529416 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200639"" target=""_blank"">D'Imperio Property</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,,,,,946.0,-8310989.506671534,4786976.690898636
New Jersey,Atlantic,0.1879546402700345,Mannheim Avenue Dump,36.56,NJD980654180,200773.0,2.0,New Jersey,Galloway Township,Atlantic,Deleted NPL Site,39.538889000000005,-74.533331,12/30/1982,09/08/1983,09/22/1994,262.0,06/28/2007,08/27/2007,"<a href=""https://semspub.epa.gov/src/document/02/363380"" target=""_blank"">NJD980654180 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200773"" target=""_blank"">Mannheim Avenue Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2007-06-28/pdf/E7-12537.pdf"" target=""_blank"">06/28/2007 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2007-06-28/pdf/E7-12536.pdf"" target=""_blank"">08/27/2007 (PDF)</a>",,No,,,,,967.0,-8297012.454046513,4799159.405180361
New Jersey,Atlantic,0.1879546402700345,Price Landfill,0.0,NJD070281175,200427.0,2.0,New Jersey,Pleasantville,Atlantic,NPL Site,39.415281,-74.52695,12/30/1982,09/08/1983,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363393"" target=""_blank"">NJD070281175 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200427"" target=""_blank"">Price Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,,,,,977.0,-8296302.124375759,4781332.7932358915
New Jersey,Atlantic,0.1879546402700345,Pomona Oaks Residential Wells,31.94,NJD980769350,200830.0,2.0,New Jersey,Galloway Township,Atlantic,Deleted NPL Site,39.477781,-74.569439,10/15/1984,06/10/1986,09/17/1992,123.0,07/15/1996,05/07/1998,"<a href=""https://semspub.epa.gov/src/document/02/363483"" target=""_blank"">NJD980769350 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200830"" target=""_blank"">Pomona Oaks Residential Wells</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-07-15/pdf/96-17460.pdf"" target=""_blank"">07/15/1996 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-05-07/pdf/98-11879.pdf"" target=""_blank"">05/07/1998 (PDF)</a>",,No,,,,,1323.0,-8301031.978220075,4790342.516410935
New Jersey,Atlantic,0.1879546402700345,Delilah Road,49.33,NJD980529002,200614.0,2.0,New Jersey,Egg Harbor Township,Atlantic,Deleted NPL Site,39.416669,-74.545831,09/08/1983,09/21/1984,08/29/2002,821.0,08/11/2009,10/13/2009,"<a href=""https://semspub.epa.gov/src/document/02/363437"" target=""_blank"">NJD980529002 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200614"" target=""_blank"">Delilah Road</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-08-11/pdf/E9-19065.pdf"" target=""_blank"">08/11/2009 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-08-11/pdf/E9-19066.pdf"" target=""_blank"">10/13/2009 (PDF)</a>",,No,,,,,998.0,-8298403.947681429,4781532.793416054
New Jersey,Atlantic,0.1879546402700345,Federal Aviation Administration Technical Center,39.65,NJ9690510020,201178.0,2.0,New Jersey,Atlantic County,Atlantic,NPL Site,39.458331,-74.583339,07/14/1989,08/30/1990,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363424"" target=""_blank"">NJ9690510020 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201178"" target=""_blank"">Federal Aviation Administration Technical Center</a>","<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,,No,,,,,1350.0,-8302579.319142101,4787537.8237257665
New Jersey,Atlantic,0.1879546402700345,South Jersey Clothing Co.,42.24,NJD980766828,200803.0,2.0,New Jersey,Minotola,Atlantic,NPL Site,39.5206,-74.9491,06/24/1988,10/04/1989,03/18/1999,594.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363401"" target=""_blank"">NJD980766828 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200803"" target=""_blank"">South Jersey Clothing Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,,No,,,,,1344.0,-8343295.647414139,4796519.78723302
New Jersey,Atlantic,0.1879546402700345,Garden State Cleaners Co.,28.9,NJD053280160,200362.0,2.0,New Jersey,Minotola,Atlantic,NPL Site,39.519031,-74.94945,06/24/1988,03/31/1989,03/18/1999,593.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363417"" target=""_blank"">NJD053280160 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200362"" target=""_blank"">Garden State Cleaners Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,No,,,,,1349.0,-8343334.609235917,4796293.368707822
New Jersey,Atlantic,0.1879546402700345,Emmell's Septic Landfill,50.0,NJD980772727,200986.0,2.0,New Jersey,Galloway Township,Atlantic,NPL Site,39.500694,-74.543611,04/23/1999,07/22/1999,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363489"" target=""_blank"">NJD980772727 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200986"" target=""_blank"">Emmell's Septic Landfill</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-04-23/pdf/99-10236.pdf"" target=""_blank"">04/23/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-07-22/pdf/99-18602.pdf"" target=""_blank"">07/22/1999 (PDF)</a>",,,,No,,,,,1365.0,-8298156.818411866,4793647.580477264
